model,year,observed,predicted,pi90_low,pi90_high,standardized_log_residual,one_sided_upper_tail_p
"ARIMA(1,0,0)",2024,16.0,19.223786767322316,5.249598845139757,64.44444873100886,-0.2432191126746827,0.5960821692168284
"ARIMA(1,0,0)",2025,63.0,19.361342046071368,5.480773521128673,62.97141461053724,1.645495515241253,0.04993383338064017
ARIMAX calor+prevención t-1,2024,16.0,23.845077774975223,9.404067264008766,58.330440103933476,-0.7170135368624229,0.7633171279825687
ARIMAX calor+prevención t-1,2025,63.0,46.67292100451041,19.223460429747902,111.37974851026125,0.5649330844696613,0.2860596396853584
ARIMAX calor+prevención t-2,2024,16.0,21.148833171922877,8.877017113170028,48.6679114004514,-0.5388747099705393,0.7050133456918097
ARIMAX calor+prevención t-2,2025,63.0,38.169981970376234,16.779686738191483,85.29440496630833,1.0224391448419727,0.15328655067890984
ARIMAX calor+prevención t-3,2024,16.0,21.09397418287668,7.970678333337791,53.41547194703544,-0.478288475007719,0.6837775509522113
ARIMAX calor+prevención t-3,2025,63.0,32.80864827523247,13.045084898387113,80.38254104321152,1.1949426937185736,0.116054710351295
ARIMAX episodios+inversión t-2,2024,16.0,29.98309386384089,14.003994826143582,62.97976782176135,-1.3615411105658248,0.9133286244958136
ARIMAX episodios+inversión t-2,2025,63.0,17.43707130277503,7.793337321427254,37.65717711013922,2.764908511132985,0.002846938140951938
